festival_id,event,year,month,country,movie_title,viewing_id
fest.lib.id285,cannes film festival,2013,5,France,The Bling Ring,1
fest.lib.id1557,seattle international film festival,2013,6,United States,The Bling Ring,2
fest.lib.id1664,sydney film festival,2013,6,Australia,The Bling Ring,3
fest.lib.id7160,edinburgh international film festival,2013,6,United Kingdom,The Bling Ring,4
fest.lib.id.na336,new zealand international film festival,2013,7,New Zealand,The Bling Ring,5
fest.lib.id1735,tokyo international film festival,2013,10,Japan,The Bling Ring,6
fest.lib.id268,buff film festival,2014,3,Sweden,The Bling Ring,7
fest.lib.id1894,munich international film festival,2015,6,Germany,The Bling Ring,8
fest.lib.id1249,nederlands film festival,2013,9,Netherlands,The Call,9
fest.lib.id874,international documentary festival amsterdam,2013,11,Netherlands,The Call,10
fest.lib.id1956,munich international documentary festival (dok.fest),2014,6,Germany,The Call,11
fest.lib.id665,frameline film festival,2013,6,United States,The Campaign,12
fest.lib.id1382,qfest,2013,7,United States,The Campaign,13
fest.lib.id1888,berlin international film festival,2013,2,Germany,The Croods,14
fest.lib.id1736,toronto international film festival,2013,9,Canada,The F Word,15
fest.lib.id.survey.na41,athens film festival,2014,9,Greece,The F Word,16
fest.lib.id1736,toronto international film festival,2013,9,Canada,The Face of Love,17
fest.lib.id1535,donostia-san sebastian international film festival,2013,9,Spain,The Face of Love,18
fest.lib.id1821,vancouver international film festival,2013,10,Canada,The Face of Love,19
fest.lib.id.na4,dallas international film festival,2014,4,United States,The Face of Love,20
fest.lib.id6822,champs-elysees film festival,2014,6,France,The Face of Love,21
fest.lib.id.na35,baltic pearl film festival,2014,9,Latvia,The Face of Love,22
fest.lib.id907,festival internacional de cine de uruguay,2015,4,Uruguay,The Face of Love,23
fest.lib.id1736,toronto international film festival,2013,9,Canada,The Fifth Estate,24
fest.lib.id759,helsinki international film festival,2013,9,Finland,The Fifth Estate,25
fest.lib.id1494,rio de janeiro international film festival,2013,9,Brazil,The Fifth Estate,26
fest.lib.id192,beirut international film festival,2013,10,Lebanon,The Fifth Estate,27
fest.lib.id308,chicago international film festival,2013,10,United States,The Fifth Estate,28
fest.lib.id.na9,american film festival,2013,10,Poland,The Fifth Estate,29
fest.lib.id1669,taipei golden horse film festival,2013,11,Taiwan,The Fifth Estate,30
fest.lib.id1648,stockholm international film festival,2013,11,Sweden,The Fifth Estate,31
fest.lib.id1888,berlin international film festival,2013,2,Germany,The First Time,32
fest.lib.id1648,stockholm film festival,2013,11,Sweden,The First Time,33
fest.lib.id1892,hamburg international short film festival,2014,9,Germany,The First Time,34
fest.lib.id285,cannes film festival,2013,5,France,The Great Gatsby,35
fest.lib.id1736,toronto international film festival,2013,9,Canada,The Green Inferno,36
fest.lib.id1494,rio film festival,2013,10,Brazil,The Green Inferno,37
fest.lib.id1613,sitges - catalonian international film festival,2013,10,Spain,The Green Inferno,38
fest.lib.id39,afi fest,2013,11,United States,The Green Inferno,39
fest.lib.id1503,rome film festival,2013,11,Italy,The Green Inferno,40
fest.lib.id7558,fantasy filmfest,2014,3,Germany,The Green Inferno,41
fest.lib.id.na427,stanley film festival,2014,4,United States,The Green Inferno,42
fest.lib.id7160,edinburgh international film festival,2014,7,United Kingdom,The Green Inferno,43
fest.lib.id510,fantasia international film festival,2014,8,Canada,The Green Inferno,44
fest.lib.id1182,morelia international film festival,2014,10,Mexico,The Green Inferno,45
fest.lib.id.na74,canberra international film festival,2014,11,Australia,The Green Inferno,46
fest.lib.id415,deauville film festival,2015,9,France,The Green Inferno,47
fest.lib.id.na348,old town taito international comedy film festival,2015,9,Japan,The Green Inferno,48
id604,fanter film festival - cáceres,2016,4,Spain,The Green Inferno,49
fest.lib.id285,cannes film festival,2013,5,France,The Immigrant,50
fest.lib.id1894,munich international film festival,2013,7,Germany,The Immigrant,51
fest.lib.id1489,reykjavik international film festival,2013,9,Iceland,The Immigrant,52
fest.lib.id1887,zurich film festival,2013,9,Switzerland,The Immigrant,53
fest.lib.id1494,rio de janeiro international film festival,2013,10,Brazil,The Immigrant,54
fest.lib.id1296,new york film festival,2013,10,United States,The Immigrant,55
fest.lib.id192,beirut international film festival,2013,10,Lebanon,The Immigrant,56
fest.lib.id308,chicago international film festival,2013,10,United States,The Immigrant,57
fest.lib.id.na17,arras international film festival,2013,11,France,The Immigrant,58
fest.lib.id1041,ljubljana international film festival,2013,11,Slovenia,The Immigrant,59
fest.lib.id.na405,seville european film festival,2013,11,Spain,The Immigrant,60
fest.lib.id6031,napa valley film festival,2013,11,United States,The Immigrant,61
fest.lib.id.na305,lisbon & estoril film festival,2013,11,Portugal,The Immigrant,62
fest.lib.id897,marrakech international film festival,2013,12,Morocco,The Immigrant,63
fest.lib.id7444,arthouse film festival,2014,3,United States,The Immigrant,64
fest.lib.id1147,miami international film festival,2014,3,United States,The Immigrant,65
fest.lib.id1272,newport beach international film festival,2014,4,United States,The Immigrant,66
fest.lib.id958,jerusalem film festival,2014,7,Israel,The Immigrant,67
fest.lib.id469,durban international film festival,2014,7,South Africa,The Immigrant,68
fest.lib.id.na368,paulinia film festival,2014,7,Brazil,The Immigrant,69
fest.lib.id4680,melbourne international film festival,2014,8,Australia,The Immigrant,70
fest.lib.id1402,gdynia film festival,2014,9,Poland,The Immigrant,71
fest.lib.id870,istanbul international crime and punishment film festival,2014,11,Turkey,The Immigrant,72
fest.lib.id.na404,sesc best films festival,2015,4,Brazil,The Immigrant,73
fest.lib.id1735,tokyo international film festival,1987,10,Japan,The Last Emperor,74
fest.lib.id.na264,italian film festival,2011,11,Philippines,The Last Emperor,75
fest.lib.id543,cine europa film festival,2012,9,Philippines,The Last Emperor,76
fest.lib.id285,cannes film festival,2013,5,France,The Last Emperor,77
fest.lib.id39,afi fest,2013,11,United States,The Last Emperor,78
fest.lib.id1697,telluride film festival,2006,9,United States,The Last King of Scotland,79
fest.lib.id1736,toronto international film festival,2006,9,Canada,The Last King of Scotland,80
fest.lib.id208,london film festival,2006,10,United Kingdom,The Last King of Scotland,81
fest.lib.id.na236,internationale hofer filmtage,2006,10,Germany,The Last King of Scotland,82
fest.lib.id1732,thessaloniki international film festival,2006,11,Greece,The Last King of Scotland,83
fest.lib.id1648,stockholm international film festival,2006,11,Sweden,The Last King of Scotland,84
fest.lib.id.survey.na516,oslo international film festival,2006,11,Norway,The Last King of Scotland,85
fest.lib.id.na41,belgrade film festival,2007,2,Serbia,The Last King of Scotland,86
fest.lib.id525,ouagadougou panafrican film and television festival,2007,3,Burkina Faso,The Last King of Scotland,87
fest.lib.id1623,sofia film fest,2007,3,Bulgaria,The Last King of Scotland,88
fest.lib.id874,international documentary festival amsterdam,2013,11,Netherlands,The Last King of Scotland,89
fest.lib.id284,cannes international critics' week,2013,5,France,The Lunchbox,90
fest.lib.id974,karlovy vary film festival,2013,7,Czechia,The Lunchbox,91
fest.lib.id1258,new horizons film festival,2013,7,Poland,The Lunchbox,92
fest.lib.id7964,two riversides film and art festival,2013,8,Poland,The Lunchbox,93
fest.lib.id.na220,gindou film festival,2013,8,France,The Lunchbox,94
fest.lib.id1697,telluride film festival,2013,8,United States,The Lunchbox,95
fest.lib.id1736,toronto international film festival,2013,9,Canada,The Lunchbox,96
fest.lib.id895,film by the sea film festival,2013,9,Netherlands,The Lunchbox,97
fest.lib.id1489,reykjavik international film festival,2013,9,Iceland,The Lunchbox,98
