festival_id,event,year,month,country,viewing_id,movie_title,imdb_id,movie_id
fest.lib.id285,cannes film festival,2013,5,France,1072,The Bling Ring,tt2132285,96936
fest.lib.id1557,seattle international film festival,2013,6,United States,1072,The Bling Ring,tt2132285,96936
fest.lib.id1664,sydney film festival,2013,6,Australia,1072,The Bling Ring,tt2132285,96936
fest.lib.id7160,edinburgh international film festival,2013,6,United Kingdom,1072,The Bling Ring,tt2132285,96936
fest.lib.id.na336,new zealand international film festival,2013,7,New Zealand,1072,The Bling Ring,tt2132285,96936
fest.lib.id1735,tokyo international film festival,2013,10,Japan,1072,The Bling Ring,tt2132285,96936
fest.lib.id268,buff film festival,2014,3,Sweden,1072,The Bling Ring,tt2132285,96936
fest.lib.id1894,munich international film festival,2015,6,Germany,1072,The Bling Ring,tt2132285,96936
fest.lib.id1888,berlin international film festival,2013,2,Germany,1090,The Croods,tt0481499,49519
fest.lib.id1736,toronto international film festival,2013,9,Canada,1112,The F Word,tt1486834,212716
fest.lib.id.survey.na41,athens film festival,2014,9,Greece,1112,The F Word,tt1486834,212716
fest.lib.id1736,toronto international film festival,2013,9,Canada,1113,The Face of Love,tt1839642,214086
fest.lib.id1535,donostia-san sebastian international film festival,2013,9,Spain,1113,The Face of Love,tt1839642,214086
fest.lib.id1821,vancouver international film festival,2013,10,Canada,1113,The Face of Love,tt1839642,214086
fest.lib.id.na4,dallas international film festival,2014,4,United States,1113,The Face of Love,tt1839642,214086
fest.lib.id6822,champs-elysees film festival,2014,6,France,1113,The Face of Love,tt1839642,214086
fest.lib.id.na35,baltic pearl film festival,2014,9,Latvia,1113,The Face of Love,tt1839642,214086
fest.lib.id907,festival internacional de cine de uruguay,2015,4,Uruguay,1113,The Face of Love,tt1839642,214086
fest.lib.id1736,toronto international film festival,2013,9,Canada,1117,The Fifth Estate,tt1837703,162903
fest.lib.id759,helsinki international film festival,2013,9,Finland,1117,The Fifth Estate,tt1837703,162903
fest.lib.id1494,rio de janeiro international film festival,2013,9,Brazil,1117,The Fifth Estate,tt1837703,162903
fest.lib.id192,beirut international film festival,2013,10,Lebanon,1117,The Fifth Estate,tt1837703,162903
fest.lib.id308,chicago international film festival,2013,10,United States,1117,The Fifth Estate,tt1837703,162903
fest.lib.id.na9,american film festival,2013,10,Poland,1117,The Fifth Estate,tt1837703,162903
fest.lib.id1669,taipei golden horse film festival,2013,11,Taiwan,1117,The Fifth Estate,tt1837703,162903
fest.lib.id1648,stockholm international film festival,2013,11,Sweden,1117,The Fifth Estate,tt1837703,162903
fest.lib.id285,cannes film festival,2013,5,France,1137,The Great Gatsby,tt1343092,64682
fest.lib.id1736,toronto international film festival,2013,9,Canada,1140,The Green Inferno,tt2403021,171424
fest.lib.id1494,rio film festival,2013,10,Brazil,1140,The Green Inferno,tt2403021,171424
fest.lib.id1613,sitges - catalonian international film festival,2013,10,Spain,1140,The Green Inferno,tt2403021,171424
fest.lib.id39,afi fest,2013,11,United States,1140,The Green Inferno,tt2403021,171424
fest.lib.id1503,rome film festival,2013,11,Italy,1140,The Green Inferno,tt2403021,171424
fest.lib.id7558,fantasy filmfest,2014,3,Germany,1140,The Green Inferno,tt2403021,171424
fest.lib.id.na427,stanley film festival,2014,4,United States,1140,The Green Inferno,tt2403021,171424
fest.lib.id7160,edinburgh international film festival,2014,7,United Kingdom,1140,The Green Inferno,tt2403021,171424
fest.lib.id510,fantasia international film festival,2014,8,Canada,1140,The Green Inferno,tt2403021,171424
fest.lib.id1182,morelia international film festival,2014,10,Mexico,1140,The Green Inferno,tt2403021,171424
fest.lib.id.na74,canberra international film festival,2014,11,Australia,1140,The Green Inferno,tt2403021,171424
fest.lib.id415,deauville film festival,2015,9,France,1140,The Green Inferno,tt2403021,171424
fest.lib.id.na348,old town taito international comedy film festival,2015,9,Japan,1140,The Green Inferno,tt2403021,171424
id604,fanter film festival - cáceres,2016,4,Spain,1140,The Green Inferno,tt2403021,171424
fest.lib.id285,cannes film festival,2013,5,France,1147,The Immigrant,tt1951181,152599
fest.lib.id1894,munich international film festival,2013,7,Germany,1147,The Immigrant,tt1951181,152599
fest.lib.id1489,reykjavik international film festival,2013,9,Iceland,1147,The Immigrant,tt1951181,152599
fest.lib.id1887,zurich film festival,2013,9,Switzerland,1147,The Immigrant,tt1951181,152599
fest.lib.id1494,rio de janeiro international film festival,2013,10,Brazil,1147,The Immigrant,tt1951181,152599
fest.lib.id1296,new york film festival,2013,10,United States,1147,The Immigrant,tt1951181,152599
fest.lib.id192,beirut international film festival,2013,10,Lebanon,1147,The Immigrant,tt1951181,152599
fest.lib.id308,chicago international film festival,2013,10,United States,1147,The Immigrant,tt1951181,152599
fest.lib.id.na17,arras international film festival,2013,11,France,1147,The Immigrant,tt1951181,152599
fest.lib.id1041,ljubljana international film festival,2013,11,Slovenia,1147,The Immigrant,tt1951181,152599
fest.lib.id.na405,seville european film festival,2013,11,Spain,1147,The Immigrant,tt1951181,152599
fest.lib.id6031,napa valley film festival,2013,11,United States,1147,The Immigrant,tt1951181,152599
fest.lib.id.na305,lisbon & estoril film festival,2013,11,Portugal,1147,The Immigrant,tt1951181,152599
fest.lib.id897,marrakech international film festival,2013,12,Morocco,1147,The Immigrant,tt1951181,152599
fest.lib.id7444,arthouse film festival,2014,3,United States,1147,The Immigrant,tt1951181,152599
fest.lib.id1147,miami international film festival,2014,3,United States,1147,The Immigrant,tt1951181,152599
fest.lib.id1272,newport beach international film festival,2014,4,United States,1147,The Immigrant,tt1951181,152599
fest.lib.id958,jerusalem film festival,2014,7,Israel,1147,The Immigrant,tt1951181,152599
fest.lib.id469,durban international film festival,2014,7,South Africa,1147,The Immigrant,tt1951181,152599
fest.lib.id.na368,paulinia film festival,2014,7,Brazil,1147,The Immigrant,tt1951181,152599
fest.lib.id4680,melbourne international film festival,2014,8,Australia,1147,The Immigrant,tt1951181,152599
fest.lib.id1402,gdynia film festival,2014,9,Poland,1147,The Immigrant,tt1951181,152599
fest.lib.id870,istanbul international crime and punishment film festival,2014,11,Turkey,1147,The Immigrant,tt1951181,152599
fest.lib.id.na404,sesc best films festival,2015,4,Brazil,1147,The Immigrant,tt1951181,152599
fest.lib.id1735,tokyo international film festival,1987,10,Japan,1159,The Last Emperor,tt0093389,746
fest.lib.id.na264,italian film festival,2011,11,Philippines,1159,The Last Emperor,tt0093389,746
fest.lib.id543,cine europa film festival,2012,9,Philippines,1159,The Last Emperor,tt0093389,746
fest.lib.id285,cannes film festival,2013,5,France,1159,The Last Emperor,tt0093389,746
fest.lib.id39,afi fest,2013,11,United States,1159,The Last Emperor,tt0093389,746
fest.lib.id1697,telluride film festival,2006,9,United States,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id1736,toronto international film festival,2006,9,Canada,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id208,london film festival,2006,10,United Kingdom,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id.na236,internationale hofer filmtage,2006,10,Germany,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id1732,thessaloniki international film festival,2006,11,Greece,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id1648,stockholm international film festival,2006,11,Sweden,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id.survey.na516,oslo international film festival,2006,11,Norway,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id.na41,belgrade film festival,2007,2,Serbia,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id525,ouagadougou panafrican film and television festival,2007,3,Burkina Faso,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id1623,sofia film fest,2007,3,Bulgaria,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id874,international documentary festival amsterdam,2013,11,Netherlands,1161,The Last King of Scotland,tt0455590,1523
fest.lib.id284,cannes international critics' week,2013,5,France,1174,The Lunchbox,tt2350496,191714
fest.lib.id974,karlovy vary film festival,2013,7,Czechia,1174,The Lunchbox,tt2350496,191714
fest.lib.id1258,new horizons film festival,2013,7,Poland,1174,The Lunchbox,tt2350496,191714
fest.lib.id7964,two riversides film and art festival,2013,8,Poland,1174,The Lunchbox,tt2350496,191714
fest.lib.id.na220,gindou film festival,2013,8,France,1174,The Lunchbox,tt2350496,191714
fest.lib.id1697,telluride film festival,2013,8,United States,1174,The Lunchbox,tt2350496,191714
fest.lib.id1736,toronto international film festival,2013,9,Canada,1174,The Lunchbox,tt2350496,191714
fest.lib.id895,film by the sea film festival,2013,9,Netherlands,1174,The Lunchbox,tt2350496,191714
fest.lib.id1489,reykjavik international film festival,2013,9,Iceland,1174,The Lunchbox,tt2350496,191714
fest.lib.id1821,vancouver international film festival,2013,9,Canada,1174,The Lunchbox,tt2350496,191714
fest.lib.id1887,zurich film festival,2013,9,Switzerland,1174,The Lunchbox,tt2350496,191714
fest.lib.id480,edmonton international film festival,2013,10,Canada,1174,The Lunchbox,tt2350496,191714
fest.lib.id208,london film festival,2013,10,United Kingdom,1174,The Lunchbox,tt2350496,191714
fest.lib.id1540,sao paulo international film festival,2013,10,Brazil,1174,The Lunchbox,tt2350496,191714
fest.lib.id1648,stockholm international film festival,2013,11,Sweden,1174,The Lunchbox,tt2350496,191714
fest.lib.id670,free zone festival belgrade,2013,11,Serbia,1174,The Lunchbox,tt2350496,191714
fest.lib.id.na17,arras international film festival,2013,11,France,1174,The Lunchbox,tt2350496,191714
fest.lib.id39,afi fest,2013,11,United States,1174,The Lunchbox,tt2350496,191714
fest.lib.id1704,torino film festival,2013,11,Italy,1174,The Lunchbox,tt2350496,191714
fest.lib.id463,dubai international film festival,2013,12,United Arab Emirates,1174,The Lunchbox,tt2350496,191714
fest.lib.id9318,glasgow film festival,2014,2,United Kingdom,1174,The Lunchbox,tt2350496,191714
fest.lib.id.na473,vilnius international film festival,2014,3,Lithuania,1174,The Lunchbox,tt2350496,191714
fest.lib.id5532,stockholm filmfestival junior,2014,4,Sweden,1174,The Lunchbox,tt2350496,191714
fest.lib.id1617,skopje film festival,2014,4,North Macedonia,1174,The Lunchbox,tt2350496,191714
fest.lib.id.na197,food film festival,2014,5,Netherlands,1174,The Lunchbox,tt2350496,191714
fest.lib.id1664,sydney film festival,2014,6,Australia,1174,The Lunchbox,tt2350496,191714
fest.lib.id.na336,new zealand international film festival,2014,7,New Zealand,1174,The Lunchbox,tt2350496,191714
fest.lib.id1766,traverse city film festival,2014,8,United States,1174,The Lunchbox,tt2350496,191714
fest.lib.id285,cannes film festival,2013,5,France,1195,The Past,tt2404461,152780
fest.lib.id1664,sydney film festival,2013,6,Australia,1195,The Past,tt2404461,152780
fest.lib.id1894,munich international film festival,2013,7,Germany,1195,The Past,tt2404461,152780
fest.lib.id469,durban international film festival,2013,7,South Africa,1195,The Past,tt2404461,152780
fest.lib.id.na336,new zealand international film festival,2013,7,New Zealand,1195,The Past,tt2404461,152780
fest.lib.id4680,melbourne international film festival,2013,8,Australia,1195,The Past,tt2404461,152780
fest.lib.id1697,telluride film festival,2013,9,United States,1195,The Past,tt2404461,152780
fest.lib.id1736,toronto international film festival,2013,9,Canada,1195,The Past,tt2404461,152780
fest.lib.id.na266,jameson cinefest international film festival,2013,9,Hungary,1195,The Past,tt2404461,152780
fest.lib.id.survey.na41,athens film festival,2013,9,Greece,1195,The Past,tt2404461,152780
fest.lib.id1821,vancouver international film festival,2013,10,Canada,1195,The Past,tt2404461,152780
fest.lib.id480,edmonton international film festival,2013,10,Canada,1195,The Past,tt2404461,152780
fest.lib.id7505,mill valley film festival,2013,10,United States,1195,The Past,tt2404461,152780
fest.lib.id217,busan international film festival,2013,10,South Korea,1195,The Past,tt2404461,152780
fest.lib.id33,adelaide film festival,2013,10,Australia,1195,The Past,tt2404461,152780
fest.lib.id752,hamptons international film festival,2013,10,United States,1195,The Past,tt2404461,152780
fest.lib.id208,london film festival,2013,10,United Kingdom,1195,The Past,tt2404461,152780
fest.lib.id39,afi fest,2013,11,United States,1195,The Past,tt2404461,152780
fest.lib.id.na305,lisbon & estoril film festival,2013,11,Portugal,1195,The Past,tt2404461,152780
fest.lib.id.na194,oslo films from the south festival,2013,11,Norway,1195,The Past,tt2404461,152780
fest.lib.id716,gijon international film festival,2013,11,Spain,1195,The Past,tt2404461,152780
fest.lib.id1644,st. louis international film festival,2013,11,United States,1195,The Past,tt2404461,152780
fest.lib.id.na30,auteur film festival belgrade,2013,12,Serbia,1195,The Past,tt2404461,152780
fest.lib.id1359,palm springs international film festival,2014,1,United States,1195,The Past,tt2404461,152780
fest.lib.id.na289,kustendorf film and music festival,2014,1,Serbia,1195,The Past,tt2404461,152780
fest.lib.id731,goteborg international film festival,2014,1,Sweden,1195,The Past,tt2404461,152780
