genre,movie_id
Action,27205
Science Fiction,27205
Adventure,27205
Adventure,157336
Drama,157336
Science Fiction,157336
Drama,155
Action,155
Crime,155
Thriller,155
Drama,155
Action,155
Crime,155
Thriller,155
Action,19995
Adventure,19995
Fantasy,19995
Science Fiction,19995
Science Fiction,24428
Action,24428
Adventure,24428
Science Fiction,24428
Action,24428
Adventure,24428
Action,293660
Adventure,293660
Comedy,293660
Action,293660
Adventure,293660
Comedy,293660
Drama,550
Action,118340
Science Fiction,118340
Adventure,118340
Action,118340
Science Fiction,118340
Adventure,118340
Thriller,680
Crime,680
Comedy,13
Drama,13
Romance,13
Action,1726
Science Fiction,1726
Adventure,1726
Action,1726
Science Fiction,1726
Adventure,1726
Drama,68718
Western,68718
Drama,278
Crime,278
Action,603
Science Fiction,603
Drama,597
Romance,597
Adventure,120
Fantasy,120
Action,120
Adventure,122
Fantasy,122
Action,122
Drama,11324
Thriller,11324
Mystery,11324
Crime,106646
Drama,106646
Comedy,106646
Action,99861
Adventure,99861
Science Fiction,99861
Action,99861
Adventure,99861
Science Fiction,99861
Adventure,271110
Action,271110
Science Fiction,271110
Adventure,271110
Action,271110
Science Fiction,271110
Action,49026
Crime,49026
Drama,49026
Thriller,49026
Action,49026
Crime,49026
Drama,49026
Thriller,49026
Action,68721
Adventure,68721
Science Fiction,68721
Action,68721
Adventure,68721
Science Fiction,68721
Action,284052
Adventure,284052
Fantasy,284052
Action,284052
Adventure,284052
Fantasy,284052
Action,76341
Adventure,76341
Science Fiction,76341
Drama,16869
Thriller,16869
War,16869
Science Fiction,70160
Adventure,70160
Fantasy,70160
Adventure,672
Fantasy,672
Adventure,121
Fantasy,121
Action,121
Action,1771
Adventure,1771
Science Fiction,1771
Action,297761
Adventure,297761
Fantasy,297761
Adventure,673
Fantasy,673
Adventure,10195
Fantasy,10195
Action,10195
Adventure,10195
Fantasy,10195
Action,10195
Adventure,10138
Action,10138
Science Fiction,10138
Adventure,10138
Action,10138
Science Fiction,10138
Action,272
Crime,272
Drama,272
Action,272
Crime,272
Drama,272
Action,284053
Adventure,284053
Science Fiction,284053
Action,284053
Adventure,284053
Science Fiction,284053
Action,284053
Adventure,284053
Science Fiction,284053
Animation,150540
Family,150540
Adventure,150540
Drama,150540
Comedy,150540
Action,135397
Adventure,135397
Science Fiction,135397
Thriller,135397
Crime,807
Mystery,807
Thriller,807
Adventure,674
Fantasy,674
Action,297762
Adventure,297762
Fantasy,297762
Action,297762
Adventure,297762
Fantasy,297762
Action,297762
Adventure,297762
Fantasy,297762
Animation,14160
Comedy,14160
Family,14160
Adventure,14160
Science Fiction,102899
Action,102899
Adventure,102899
Science Fiction,102899
Action,102899
Adventure,102899
Drama,238
Crime,238
Drama,286217
Adventure,286217
Science Fiction,286217
Adventure,105
Comedy,105
Science Fiction,105
Adventure,675
Fantasy,675
Adventure,767
Fantasy,767
Action,263115
Drama,263115
Science Fiction,263115
Action,263115
Drama,263115
Science Fiction,263115
Animation,12
Family,12
Action,245891
Thriller,245891
Fantasy,259316
Adventure,259316
Family,259316
Action,100402
Adventure,100402
Science Fiction,100402
Fantasy,557
Action,557
Mystery,210577
Thriller,210577
Drama,210577
Adventure,49051
Fantasy,49051
Action,49051
Animation,585
Comedy,585
Family,585
Animation,862
Adventure,862
Family,862
Comedy,862
Western,281957
Drama,281957
Adventure,281957
Action,209112
Adventure,209112
Fantasy,209112
Family,8587
Animation,8587
Drama,8587
Action,98
Drama,98
Adventure,98
Comedy,37165
Drama,37165
Action,9806
Adventure,9806
Animation,9806
Family,9806
Drama,329865
Science Fiction,329865
Mystery,329865
Action,76338
Adventure,76338
Fantasy,76338
Action,76338
Adventure,76338
Fantasy,76338
Action,1930
Adventure,1930
Fantasy,1930
Horror,381288
Thriller,381288
Horror,694
Thriller,694
Adventure,101299
Action,101299
Science Fiction,101299
Mystery,419430
Thriller,419430
Horror,419430
History,205596
Drama,205596
Thriller,205596
War,205596
Fantasy,497
Drama,497
Crime,497
Action,198663
Mystery,198663
Science Fiction,198663
Thriller,198663
Comedy,18785
Animation,808
Comedy,808
Fantasy,808
Adventure,808
Family,808
Animation,2062
Comedy,2062
Family,2062
Fantasy,2062
Crime,207703
Comedy,207703
Action,207703
Adventure,207703
Comedy,313369
Drama,313369
Romance,313369
Music,313369
Animation,109445
Family,109445
Adventure,109445
Fantasy,109445
War,374720
Action,374720
Drama,374720
Animation,269149
Adventure,269149
Family,269149
Comedy,269149
Action,240832
Science Fiction,240832
Adventure,329
Science Fiction,329
Crime,274
Drama,274
Thriller,274
Family,321612
Fantasy,321612
Romance,321612
Adventure,177572
Family,177572
Animation,177572
Action,177572
Comedy,177572
Thriller,75656
Crime,75656
Science Fiction,131631
Adventure,131631
Thriller,131631
Drama,1124
Mystery,1124
Science Fiction,1124
Drama,857
History,857
War,857
Action,339403
Crime,339403
Action,37724
Adventure,37724
Thriller,37724
Science Fiction,49047
Thriller,49047
Drama,49047
Action,127585
Adventure,127585
Science Fiction,127585
Action,72190
Drama,72190
Horror,72190
Science Fiction,72190
Thriller,72190
Action,330459
Adventure,330459
Science Fiction,330459
Action,49521
Adventure,49521
Science Fiction,49521
Action,49521
Adventure,49521
Science Fiction,49521
Action,49521
Adventure,49521
Science Fiction,49521
Family,20352
Animation,20352
Comedy,20352
Action,558
Adventure,558
Fantasy,558
Adventure,118
Comedy,118
Family,118
Fantasy,118
Drama,244786
Music,244786
Drama,1422
Thriller,1422
Crime,1422
Comedy,120467
Drama,120467
Animation,10193
Family,10193
Comedy,10193
Mystery,77
Thriller,77
Science Fiction,38
Drama,38
Romance,38
Drama,44214
Thriller,44214
Horror,44214
Action,752
Thriller,752
Science Fiction,752
Romance,152601
Science Fiction,152601
Drama,152601
Action,122917
Adventure,122917
Fantasy,122917
Crime,500
Thriller,500
Drama,273248
Mystery,273248
Western,273248
Horror,348
Science Fiction,348
Action,10528
Adventure,10528
Crime,10528
Mystery,10528
Family,12155
Fantasy,12155
Adventure,12155
Adventure,1865
Action,1865
Fantasy,1865
Fantasy,559
Action,559
Adventure,559
Animation,920
Adventure,920
Comedy,920
Family,920
Animation,863
Comedy,863
Family,863
Action,607
Adventure,607
Comedy,607
Science Fiction,607
Action,137113
Science Fiction,137113
Action,1271
Adventure,1271
War,1271
Science Fiction,78
Drama,78
Thriller,78
Drama,324786
History,324786
War,324786
Fantasy,8966
