company_name,movie_id
Legendary Pictures,27205
Legendary Pictures,157336
DC Comics,155
DC Comics,155
Dune Entertainment,19995
Marvel Studios,24428
Marvel Studios,24428
20th Century Fox,293660
20th Century Fox,293660
Regency Enterprises,550
Marvel Studios,118340
Marvel Studios,118340
Miramax,680
Paramount,13
Marvel Studios,1726
Marvel Studios,1726
The Weinstein Company,68718
Castle Rock Entertainment,278
Village Roadshow Pictures,603
Paramount,597
New Line Cinema,120
New Line Cinema,122
Phoenix Pictures,11324
EMJAG Productions,106646
Marvel Studios,99861
Marvel Studios,99861
Marvel Studios,271110
Marvel Studios,271110
Syncopy,49026
Syncopy,49026
Marvel Studios,68721
Marvel Studios,68721
Marvel Studios,284052
Marvel Studios,284052
Kennedy Miller Productions,76341
The Weinstein Company,16869
Lionsgate,70160
Warner Bros. Pictures,672
New Line Cinema,121
Marvel Studios,1771
DC Entertainment,297761
Warner Bros. Pictures,673
Marvel Studios,10195
Marvel Studios,10195
Marvel Studios,10138
Marvel Studios,10138
Warner Bros. Pictures,272
Warner Bros. Pictures,272
Marvel Studios,284053
Marvel Studios,284053
Marvel Studios,284053
Pixar,150540
Amblin Entertainment,135397
New Line Cinema,807
Warner Bros. Pictures,674
Atlas Entertainment,297762
Atlas Entertainment,297762
Atlas Entertainment,297762
Pixar,14160
Marvel Studios,102899
Marvel Studios,102899
Paramount,238
Scott Free Productions,286217
Universal Pictures,105
Warner Bros. Pictures,675
Warner Bros. Pictures,767
Hutch Parker Entertainment,263115
Hutch Parker Entertainment,263115
Pixar,12
87Eleven,245891
Heyday Films,259316
Marvel Studios,100402
Marvel Enterprises,557
Regency Enterprises,210577
Warner Bros. Pictures,49051
Pixar,585
Pixar,862
Monarchy Enterprises S.a.r.l.,281957
Warner Bros. Pictures,209112
Walt Disney Pictures,8587
Universal Pictures,98
Paramount,37165
Pixar,9806
FilmNation Entertainment,329865
Marvel Studios,76338
Marvel Studios,76338
Marvel Entertainment,1930
Universal Pictures,381288
Hawk Films,694
Lionsgate,101299
Monkeypaw Productions,419430
Bristol Automotive,205596
Castle Rock Entertainment,497
Ingenious Media,198663
Legendary Pictures,18785
DreamWorks Pictures,808
Pixar,2062
20th Century Fox,207703
Summit Entertainment,313369
Walt Disney Pictures,109445
Warner Bros. Pictures,374720
Walt Disney Animation Studios,269149
EuropaCorp,240832
Universal Pictures,329
Orion Pictures,274
Walt Disney Pictures,321612
Walt Disney Pictures,177572
Summit Entertainment,75656
Lionsgate,131631
Warner Bros. Pictures,1124
Paramount,857
Big Talk Productions,339403
Metro-Goldwyn-Mayer,37724
Esperanto Filmoj,49047
Bad Hat Harry Productions,127585
GK Films,72190
Lucasfilm Ltd.,330459
DC Entertainment,49521
DC Entertainment,49521
DC Entertainment,49521
Illumination,20352
Marvel Enterprises,558
The Zanuck Company,118
Bold Films,244786
Vertigo Entertainment,1422
Fox Searchlight Pictures,120467
Pixar,10193
Summit Entertainment,77
Focus Features,38
Fox Searchlight Pictures,44214
Studio Babelsberg,752
Annapurna Pictures,152601
Warner Bros. Pictures,122917
Live Entertainment,500
The Weinstein Company,273248
Brandywine Productions,348
Warner Bros. Pictures,10528
Walt Disney Pictures,12155
Walt Disney Pictures,1865
Laura Ziskin Productions,559
Pixar,920
Pixar,863
Columbia Pictures,607
RatPac Entertainment,137113
Virtual Studios,1271
Shaw Brothers,78
Vendian Entertainment,324786
Summit Entertainment,8966
Walt Disney Pictures,62177
Walt Disney Pictures,102651
Wanda Pictures,274870
Fox 2000 Pictures,87827
DNA Films,264660
Marvel Entertainment,102382
20th Century Fox Animation,425
RatPac Entertainment,141052
Warner Bros. Pictures,57158
Melampo Cinematografica,637
The Donners' Company,246655
TSG Entertainment,194662
Summit Entertainment,157350
RatPac Entertainment,190859
DreamWorks Animation,10191
20th Century Fox,162
The Donners' Company,49538
Paramount,4922
Orion Pictures,218
Universal Pictures,165
