criticName,isTopCritic,firstReview,latestReview,critic_id
A.A. Dowd,True,2012-01-24,2022-12-23,6
A.H. Weiler,True,2003-05-20,2006-10-31,9
A.O. Scott,True,2000-01-01,2022-12-14,12
AARP Staff,False,2021-12-10,2021-12-10,14
Aaron Asadi,False,2015-07-07,2017-09-08,20
Aaron Dicer,False,2019-02-08,2022-01-17,23
Aaron Hillis,False,2003-04-23,2011-06-23,25
Aaron Hillis,True,2007-10-16,2015-12-08,25
Aaron Lazenby,False,2000-01-01,2004-10-13,27
Aaron Neuwirth,False,2019-03-29,2023-02-27,31
Aaron White,False,2023-01-06,2023-01-06,36
Aaron Yap,False,2010-12-20,2020-09-11,37
Aarón Rodríguez Serrano,False,2018-10-30,2018-10-30,38
Abbey Bender,False,2016-06-02,2019-01-18,39
Abbey Bender,True,2015-07-21,2016-11-22,39
Abhinav Purohit,False,2015-10-18,2015-10-18,50
Abhishek Srivastava,False,2022-11-02,2023-03-27,52
Abigail Bamsey,False,2010-12-15,2010-12-15,53
Abigail Chandler,False,2016-04-07,2019-10-17,55
Abirbhab Maitra,False,2022-04-29,2022-04-29,56
Adam Barnhardt,False,2019-06-04,2019-06-04,65
Adam Bouyamourn,False,2016-05-19,2016-05-19,68
Adam Bregman,False,2007-08-16,2007-10-11,69
Adam Bub,False,2011-08-04,2012-09-27,70
Adam Chitwood,False,2016-02-19,2018-09-10,72
Adam Cook,False,2015-05-21,2018-02-01,73
Adam Cook,True,2015-12-29,2015-12-29,73
Adam Fendelman,False,2007-09-20,2015-09-26,77
Adam Fresco,False,2014-11-13,2019-03-27,78
Adam Kempenaar,True,2008-02-27,2023-03-23,86
Adam Lee Davies,True,2010-01-15,2016-12-08,87
Adam Lowes,False,2012-08-13,2019-04-08,90
Adam McCabe,False,2014-04-02,2014-04-02,95
Adam Nayman,True,2001-08-02,2023-03-25,98
Adam Ross,False,2012-09-27,2014-08-16,102
Adam Smith,False,2001-02-05,2019-04-25,106
Adam Smith,True,2000-01-01,2021-06-15,106
Adam Solomons,False,2019-09-11,2022-08-31,108
Adam Starkey,False,2017-09-05,2017-09-05,109
Adam Sweeting,False,2015-01-04,2022-07-26,111
Adam Tanswell,True,2007-09-14,2007-09-14,112
Adam Tobias,False,2008-05-20,2015-11-22,114
Adam White,True,2016-02-26,2020-08-17,116
Adam Woodward,True,2009-08-14,2022-05-11,117
Ade Adeniji,False,2018-08-24,2022-12-20,122
Adele Hartley,False,2019-04-23,2019-04-25,123
Adrian Andrade,False,2015-11-17,2015-12-10,130
Adrian Hennigan,False,2001-06-05,2019-12-27,132
Adrian Hennigan,True,2002-08-12,2006-06-24,132
Adrian Horton,True,2022-03-18,2022-09-08,134
Adrian Martin,False,2020-06-26,2020-06-26,138
Adrian Martin,True,2022-02-02,2023-02-02,138
Adrian Smith,False,2016-12-29,2016-12-29,142
Adrian Turner,False,2007-05-08,2020-08-31,143
Adrián Carande,False,2017-12-13,2017-12-13,147
Adrián Ruiz,False,2015-07-09,2018-03-12,149
Adrián Álvarez,True,2019-07-14,2021-01-26,150
Afsheen Nomai,False,2011-01-01,2011-01-01,152
Agnes Kegl,False,2017-06-29,2017-06-29,154
Ahmed Peerbux,True,2012-01-20,2012-01-20,157
Aileo Weinmann,False,2000-01-01,2000-01-01,159
Ailsa Caine,True,2007-02-27,2010-07-22,160
Aimee Knight,False,2015-08-18,2016-02-05,161
Aine O'Connor,False,2014-02-06,2021-10-15,162
Aitor Salinas,False,2019-04-25,2019-04-25,165
Aja Romano,False,2016-10-24,2016-10-24,166
Aja Romano,True,2016-08-08,2021-01-12,166
Al Horner,False,2016-07-11,2016-07-11,179
Alan Bett,False,2013-09-02,2014-02-27,186
Alan Boon,False,2021-02-05,2021-02-05,187
Alan Corr,False,2016-07-19,2023-02-03,189
Alan Frank,False,2014-02-25,2015-08-21,193
Alan Jones,False,2009-11-20,2022-08-10,195
Alan Jones,True,2014-02-20,2014-03-16,195
Alan Kacalski,False,2005-12-02,2005-12-02,197
Alan Mack,True,2008-03-12,2011-07-07,198
Alan Morrison,True,2000-01-01,2015-03-03,199
Alan Ng,False,2017-11-03,2022-12-14,200
Alan Pergament,False,2020-01-16,2020-01-16,203
Alan Zilberman,False,2017-01-02,2023-01-09,212
Alan Zilberman,True,2015-12-09,2019-04-10,212
Alasdair Bayman,False,2019-07-23,2020-08-04,214
Alasdair Morton,False,2017-09-19,2017-09-19,215
Alastair McKay,False,2003-12-17,2022-12-20,216
Alastair McKay,True,2009-09-04,2009-09-04,216
Alastair Sooke,True,2016-05-18,2016-05-18,218
Alberto Acuña,False,2015-05-29,2016-03-02,221
Alberto Bermejo,False,2016-06-22,2019-01-04,222
Alberto Corona,False,2017-06-08,2020-09-07,223
Alberto Lechuga,False,2016-05-13,2017-02-21,225
Alberto Luchini,False,2016-06-09,2019-12-27,226
Alberto Sáez Villarino,False,2016-04-26,2019-01-16,227
Alec Bojalad,False,2018-06-14,2018-06-14,230
Alec Cawthorne,True,2001-04-17,2002-08-12,231
Alec Worley,False,2011-10-23,2011-12-22,232
Alejandra Alarcón Cervantes,False,2015-04-20,2015-11-05,234
Alejandra Martinez,False,2022-08-06,2022-08-06,235
Alejandro G. Calvo,False,2015-11-04,2022-05-25,238
Alejandro Murillo,False,2015-08-13,2016-09-23,241
Alejandro Sosa,False,2018-05-29,2018-07-16,242
Alex Abad-Santos,True,2015-10-14,2021-07-09,246
Alex Albanese,False,2001-02-21,2001-02-21,247
Alex Blimes,False,2009-01-23,2010-01-15,254
Alex Casey,False,2017-02-14,2019-01-14,256
Alex Chun,True,2006-12-15,2007-01-30,257
Alex Critchley,False,2010-07-07,2010-07-07,260
Alex Denney,False,2021-04-22,2021-04-22,261
Alex Dudok de Wit,True,2014-06-24,2019-04-02,263
Alex Fletcher,False,2009-02-19,2016-07-28,266
Alex Flood,False,2019-03-07,2023-02-01,267
Alex Godfrey,False,2017-10-19,2017-11-02,270
Alex Godfrey,True,2020-08-12,2022-09-08,270
Alex Goldstein,False,2019-10-07,2019-10-07,272
Alex Heeney,False,2017-06-29,2019-12-04,274
Alex Keen,False,2000-01-01,2005-07-29,278
Alex Leadbeater,False,2015-09-24,2016-09-16,281
Alex Lewin,False,2023-02-14,2023-02-14,284
Alex Needham,True,2015-03-17,2016-05-02,294
Alex Nohe,False,2002-12-08,2005-12-06,295
Alex Orner,False,2011-01-01,2011-01-01,296
Alex Ramirez,False,2001-07-11,2010-10-14,298
Alex Sandell,False,2000-01-01,2012-01-15,301
Alex Zane,False,2009-11-27,2016-10-05,306
Alexa Dalby,False,2018-08-27,2020-08-20,309
Alexander Harrison,False,2022-10-06,2022-10-06,313
Alexander Pashby,True,2010-03-22,2010-08-13,318
Alexander Ryll,False,2018-11-03,2019-09-15,319
Alexander Zalben,False,2010-03-25,2018-06-08,322
Alexandra Calamari,False,2007-10-17,2007-11-07,324
Alexandra Coghlan,False,2008-09-26,2016-05-25,326
Alexandra Hayward,False,2019-01-05,2019-01-30,327
Alexandra Heller-Nicholas,True,2017-03-07,2023-03-21,328
Alexia Stam,True,2016-10-21,2016-11-29,334
Alfonso Flores-Durón y Martínez,False,2015-10-19,2023-02-13,339
Alfred Joyner,False,2015-08-31,2016-05-23,341
Ali Barclay,True,2000-01-01,2001-12-17,344
Ali Catterall,False,2004-04-27,2017-10-30,345
Ali Catterall,True,2000-01-01,2004-12-21,345
Ali Gray,False,2004-11-25,2020-04-22,347
Ali Griffiths,False,2022-04-28,2022-04-28,348
Ali Kasim,False,2022-02-11,2022-02-17,349
Ali Plumb,False,2015-09-03,2015-12-22,352
Ali Plumb,True,2009-12-18,2015-08-06,352
Ali Shutler,False,2021-06-17,2022-12-13,354
Alice Levick,True,2010-02-19,2010-09-30,356
Alice Tynan,False,2009-12-14,2017-08-15,361
Alice Vincent,True,2016-05-12,2016-05-12,362
Alicia Adejobi,False,2015-10-09,2017-06-22,364
Alicia Gilstorf,False,2021-03-12,2021-07-09,368
Alison Gang,False,2010-03-25,2013-05-31,378
Alison Gillmor,False,2015-10-23,2023-03-14,379
Alison Jones,False,2011-06-02,2012-10-03,382
Alison Macor,False,2022-01-22,2023-01-20,385
Alison Macor,True,2000-01-01,2004-10-19,385
Alison Rowat,False,2018-04-03,2020-01-21,387
Alison Willmore,True,2010-11-05,2022-07-14,388
Alison de Souza,False,2020-01-30,2020-01-30,389
