franchise_id,franchise_name,franchise_url,total_gross,num_movies,average_gross,highest_grossing_movie,Franchise,No. of Movies,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,First Year,Last Year,No. of Years
1,Marvel Cinematic Universe,https://www.the-numbers.com/movies/franchise/Marvel-Cinematic-Universe,43,"$12,438,221,724","$14,756,455,925","$31,056,507,006",Marvel Cinematic Universe,45,"$12,436,709,969","$14,754,986,708","$31,040,311,843",2008,2027,19
2,Star Wars,https://www.the-numbers.com/movies/franchise/Star-Wars,15,"$5,102,241,117","$9,533,071,731","$10,324,484,384",Star Wars,15,"$5,102,241,117","$9,533,071,731","$10,326,240,911",1977,2027,50
3,James Bond,https://www.the-numbers.com/movies/franchise/James-Bond,27,"$2,297,557,630","$7,188,939,438","$7,878,060,107",James Bond,27,"$2,297,557,630","$7,188,939,438","$7,878,060,107",1963,2021,58
4,Batman,https://www.the-numbers.com/movies/franchise/Batman,28,"$3,211,917,572","$5,105,997,502","$7,010,200,014",Batman,28,"$3,205,228,285","$5,098,349,237","$6,969,201,092",1966,2026,60
5,Spider-Man,https://www.the-numbers.com/movies/franchise/Spider-Man,13,"$3,699,796,916","$4,882,977,893","$8,974,837,979",Spider-Man,13,"$3,699,796,916","$4,882,977,893","$8,963,442,726",2002,2025,23
7,X-Men,https://www.the-numbers.com/movies/franchise/X-Men,14,"$3,095,211,123","$4,071,052,112","$7,413,878,530",X-Men,14,"$3,093,699,368","$4,069,540,357","$7,409,010,636",2000,2024,24
8,Jurassic Park,https://www.the-numbers.com/movies/franchise/Jurassic-Park,7,"$2,273,634,802","$3,601,633,510","$6,026,384,764",Jurassic Park,7,"$2,273,634,802","$3,600,429,373","$6,026,384,764",1993,2025,32
9,DC Extended Universe,https://www.the-numbers.com/movies/franchise/DC-Extended-Universe,26,"$2,781,499,251","$3,279,880,993","$7,141,557,870",DC Extended Universe,26,"$2,781,499,251","$3,279,880,993","$7,141,557,870",2013,2023,10
10,Avengers,https://www.the-numbers.com/movies/franchise/Avengers,6,"$2,619,552,260","$3,244,590,887","$7,707,019,725",Avengers,6,"$2,619,552,260","$3,244,590,887","$7,707,019,725",2012,2027,15
11,Bambi,https://www.the-numbers.com/movies/franchise/Bambi,2,"$102,797,000","$3,179,143,103","$302,000,000",Bambi,2,"$102,797,000","$3,179,143,103","$302,000,000",1942,2006,64
12,Star Trek,https://www.the-numbers.com/movies/franchise/Star-Trek,15,"$1,400,952,879","$3,070,403,368","$2,266,907,732",Star Trek,15,"$1,400,952,879","$3,070,403,368","$2,266,907,732",1979,2025,46
13,Peter Jackson's Lord of the Rings,https://www.the-numbers.com/movies/franchise/Peter-Jacksons-Lord-of-the-Rings,9,"$1,861,604,296","$2,991,648,817","$5,854,662,084",Peter Jackson's Lord of the Rings,9,"$1,861,604,296","$2,991,648,817","$5,854,660,013",2001,2026,25
14,Fast and the Furious,https://www.the-numbers.com/movies/franchise/Fast-and-the-Furious,12,"$2,009,883,998","$2,687,383,888","$7,321,468,016",Fast and the Furious,12,"$2,009,883,998","$2,687,383,888","$7,321,468,016",2001,2026,25
15,Indiana Jones,https://www.the-numbers.com/movies/franchise/Indiana-Jones,5,"$1,094,319,743","$2,616,230,380","$2,345,302,461",Indiana Jones,5,"$1,094,319,743","$2,616,230,380","$2,345,302,461",1981,2023,42
16,Shrek,https://www.the-numbers.com/movies/franchise/Shrek,9,"$1,606,263,228","$2,496,357,425","$4,031,458,435",Shrek,9,"$1,606,263,228","$2,496,101,982","$4,031,458,435",2001,2026,25
17,Rocky,https://www.the-numbers.com/movies/franchise/Rocky,10,"$948,288,490","$2,451,097,042","$1,933,339,002",Rocky,10,"$948,288,490","$2,451,097,042","$1,933,339,002",1976,2023,47
18,Superman,https://www.the-numbers.com/movies/franchise/Superman,12,"$1,152,698,852","$2,426,693,258","$2,553,272,239",Superman,12,"$1,152,698,852","$2,426,693,258","$2,553,272,239",1978,2025,47
19,Transformers,https://www.the-numbers.com/movies/franchise/Transformers,9,"$1,798,797,520","$2,421,048,080","$5,414,101,354",Transformers,10,"$1,792,594,350","$2,414,844,910","$5,396,707,997",1986,2024,38
20,Despicable Me,https://www.the-numbers.com/movies/franchise/Despicable-Me,10,"$1,952,767,130","$2,319,597,955","$5,614,667,932",Despicable Me,10,"$1,952,767,130","$2,318,896,565","$5,608,593,313",2010,2027,17
22,Toy Story,https://www.the-numbers.com/movies/franchise/Toy-Story,8,"$1,436,427,934","$2,234,593,152","$3,273,072,806",Toy Story,8,"$1,436,427,934","$2,234,593,152","$3,273,072,806",1995,2026,31
23,101 Dalmatians,https://www.the-numbers.com/movies/franchise/101-Dalmatians,3,"$356,130,853","$2,206,709,379","$524,444,124",101 Dalmatians,3,"$356,130,853","$2,206,709,379","$524,444,124",1961,2000,39
24,Hunger Games,https://www.the-numbers.com/movies/franchise/Hunger-Games,6,"$1,617,889,120","$2,086,190,224","$3,304,575,176",Hunger Games,6,"$1,617,889,120","$2,086,190,224","$3,304,575,176",2012,2026,14
25,Jaws,https://www.the-numbers.com/movies/franchise/Jaws,4,"$442,167,994","$2,067,636,501","$832,424,337",Jaws,4,"$442,167,994","$2,066,927,986","$832,424,337",1975,1987,12
