person_id,name,gender
0,45394,52fe441fc3a36847f8083b37
1,George Lucas,2
2,6862,52fe450ac3a36847f80b8b73
3,Harrison Ford,2
4,Carrie Fisher,1
5,Peter Cushing,2
6,Anthony Daniels,2
7,Andrew Stanton,2
8,Lee Unkrich,2
9,Graham Walters,2
10,Bob Peterson,2
11,David Reynolds,2
12,Alexander Gould,2
13,Albert Brooks,2
14,Ellen DeGeneres,1
18,Brad Garrett,2
19,Allison Janney,1
20,Elizabeth Perkins,1
22,Barry Humphries,2
23,Bill Hunter,2
24,Robert Zemeckis,2
27,Eric Roth,2
28,Wendy Finerman,1
29,Steve Tisch,2
30,Steve Starkey,2
31,Tom Hanks,2
32,Robin Wright,1
33,Gary Sinise,2
34,Mykelti Williamson,2
35,Sally Field,1
36,Don Burgess,2
37,Alan Silvestri,2
38,Arthur Schmidt,2
39,Sam Mendes,2
40,Orson Welles,2
42,Lars von Trier,2
47,Björk,1
48,Sean Bean,2
49,Maria Bello,1
50,Catherine Deneuve,1
51,Richard Elfyn,2
52,David Morse,2
53,Peter Stormare,2
54,Maurice Roeves,2
55,Abigail Stone,1
56,Sophie Stuckey,1
59,Luc Besson,2
60,Patrice Ledoux,2
61,Robert Mark Kamen,2
62,Bruce Willis,2
63,Milla Jovovich,1
64,Gary Oldman,2
65,Ian Holm,2
66,Chris Tucker,2
67,Erich Pommer,2
68,Fritz Lang,2
69,Gottfried Huppertz,0
70,Karl Freund,2
71,Günther Rittau,2
73,Alfred Abel,2
74,Gustav Fröhlich,2
75,Brigitte Helm,1
77,Rudolf Klein-Rogge,2
78,Fritz Rasp,2
79,Theodor Loos,2
81,Heinrich George,2
82,Olaf Storm,2
85,Johnny Depp,2
86,Bruce Brown,2
90,Isabel Coixet,1
93,Esther García,1
96,Gordon McLennan,0
97,Nanci Kincaid,0
98,Sarah Polley,1
99,Amanda Plummer,1
100,Scott Speedman,2
101,Leonor Watling,1
102,Deborah Harry,1
103,Mark Ruffalo,2
104,Jean-Claude Larrieu,2
105,Lisa Robison,1
106,Alfonso Vilallonga,0
108,Peter Jackson,2
109,Elijah Wood,2
110,Viggo Mortensen,2
112,Cate Blanchett,1
113,Christopher Lee,2
114,Orlando Bloom,2
116,Keira Knightley,1
117,Howard Shore,2
118,Geoffrey Rush,2
120,Dariusz Wolski,2
122,Klaus Badelt,2
123,Barrie M. Osborne,2
126,Fran Walsh,1
128,Philippa Boyens,1
129,J.R.R. Tolkien,2
130,Kenny Baker,2
131,Jake Gyllenhaal,2
132,Scott MacDonald,2
133,Peter Sarsgaard,2
134,Jamie Foxx,2
135,Bobby Cohen,2
136,Sam Mercer,2
138,Quentin Tarantino,2
139,Uma Thurman,1
140,Lucy Liu,1
141,David Carradine,2
142,William Broyles Jr.,2
147,Michael Madsen,2
148,Anthony Swofford,2
149,Robert Richardson,2
150,RZA,2
151,Roger Deakins,2
152,Jim Morrison,2
153,Thomas Newman,2
154,Walter Murch,2
155,Lucas Black,2
156,Sally Menke,1
157,Thea von Harbou,1
164,Lior Ashkenazi,2
165,Knut Berger,2
166,Caroline Peters,1
168,Carola Regnier,1
169,Hanns Zischler,2
172,Michael Winterbottom,2
173,Andrew Eaton,0
177,Margo Stilley,1
179,Marcel Zyskind,2
190,Clint Eastwood,2
192,Morgan Freeman,2
193,Gene Hackman,2
194,Richard Harris,2
195,Lennie Niehaus,2
198,Dan Castellaneta,2
199,Julie Kavner,1
200,Nancy Cartwright,1
201,Michel Gondry,2
202,Charlie Kaufman,2
204,Kate Winslet,1
205,Kirsten Dunst,1
206,Jim Carrey,2
207,Tom Wilkinson,2
209,Jane Adams,1
211,Debbon Ayer,1
212,David Cross,2
213,Gerry Robert Byrne,2
216,Josh Flitter,2
222,Pierre Bismuth,0
223,Alejandro González Iñárritu,2
224,David Cronenberg,2
225,Ashton Holmes,2
226,Heidi Hayes,0
227,William Hurt,2
228,Ed Harris,2
229,Peter MacNeill,2
230,Stephen McHattie,2
231,Greg Bryk,2
232,Kyle Schmid,2
233,Sumela Kay,1
234,Gerry Quigley,2
235,Deborah Drakeford,0
236,Bill MacDonald,2
237,Aidan Devine,2
239,Jon Vitti,2
240,Stanley Kubrick,2
241,Arthur C. Clarke,2
243,Geoffrey Unsworth,2
244,Ray Lovejoy,2
245,Keir Dullea,2
246,Gary Lockwood,2
247,William Sylvester,2
249,Leonard Rossiter,2
250,Margaret Tyzack,1
251,Robert Beatty,2
252,Sean Sullivan,2
253,Douglas Rain,2
254,H.L. Bird,0
255,Winston Ryder,0
257,Victor Lyndon,0
258,Gael García Bernal,2
259,Vanessa Bauche,1
260,Marco Pérez,2
261,Goya Toledo,1
262,Alvaro Guerrero,0
263,Emilio Echevarría,2
264,Jorge Salinas,2
265,Rodrigo Murray,0
266,Humberto Busto,2
267,Gerardo Campbell,0
268,Rosa María Bianchi,0
269,Dunia Saldívar,1
270,Adriana Barraza,1
271,José Sefami,2
272,Lourdes Echevarría,1
273,Guillermo Arriaga,2
275,Rodrigo Prieto,2
278,Gustavo Santaolalla,2
279,Antonio Vega,0
280,Terry Gilliam,2
282,Charles Roven,0
283,Robert Cavallo,2
284,Gary Levinsohn,2
286,Lloyd Phillips,2
287,Brad Pitt,2
288,Jon Seda,2
289,Madeleine Stowe,1
290,Christopher Plummer,2
291,Frank Gorshin,2
293,Roger Pratt,2
294,Mick Audsley,2
297,Jay Meagher,0
298,Chris Bender,2
306,John Wagner,2
307,Peter Suschitzky,2
309,Pedro Almodóvar,2
310,Ronald Sanders,2
312,Jon Brion,2
313,Ellen Kuras,1
321,Anthony Bregman,2
322,Steve Golin,2
323,Curtis Hanson,2
325,Eminem,2
326,Kim Basinger,1
327,Mekhi Phifer,2
328,Brittany Murphy,1
329,Carol Fenelon,1
330,Jay Rabinowitz,2
331,Craig Kitson,2
333,Evan Jones,2
334,Omar Benson Miller,0
335,Michael Shannon,2
336,Xzibit,2
339,Brian Grazer,2
340,Jimmy Iovine,2
342,Eugene Byrd,2
343,Taryn Manning,1
346,Mike Bell,0
347,Tom Rooker,2
348,William Goldman,2
349,Scott Glenn,2
350,Laura Linney,1
351,Judy Davis,1
352,Dennis Haysbert,2
355,David Baldacci,0
356,Jack Green,2
366,James Mangold,2
368,Reese Witherspoon,1
369,Henry Bumstead,2
370,Jack G. Taylor Jr.,0
371,Bill Coe,2
372,Tom Stoppard,2
373,Doug Jackson,2
374,Charles McKeown,0
375,Bub Asman,0
376,Arnon Milchan,2
377,Patrick Cassavetti,2
378,Jonathan Pryce,2
379,Donald Harris,0
380,Robert De Niro,2
381,Katherine Helmond,1
382,Bob Hoskins,2
383,Michael Palin,2
384,Joel Cox,2
385,Ian Richardson,2
386,Peter Vaughan,2
387,Kim Greist,1
388,Jim Broadbent,2
389,Alison Eastwood,1
